round,generation,num_pareto_solutions
0,1,10
0,2,13
0,3,25
0,4,23
0,5,30
1,1,6
1,2,15
1,3,24
1,4,30
1,5,30
2,1,10
2,2,13
2,3,19
2,4,22
2,5,30
3,1,7
3,2,13
3,3,21
3,4,27
3,5,30
4,1,14
4,2,18
4,3,26
4,4,30
4,5,30
5,1,12
5,2,22
5,3,24
5,4,24
5,5,23
6,1,9
6,2,16
6,3,24
6,4,30
6,5,30
7,1,14
7,2,19
7,3,29
7,4,30
7,5,30
8,1,11
8,2,12
8,3,19
8,4,23
8,5,24
9,1,13
9,2,17
9,3,19
9,4,25
9,5,29
