Device ID,Energy Consumption,Battery Level,Pareto Front Rank
0,-310.6630079063805,72.04123246172591,0
0,-310.6630079063805,72.04123246172591,0
0,-310.6630079063805,72.04123246172591,0
3,-193.6785545019997,88.07311575167269,0
4,-410.79406755228473,70.26593335664485,0
5,-195.66703362259977,84.33074882045206,0
6,-290.44986852235013,80.92044627072981,0
7,-326.49562355641467,68.07984174407885,1
8,-293.3188966157676,69.80976144290196,1
9,-402.23656647739506,45.28203986405438,1
10,-354.6521329743251,64.79134303524097,1
11,-184.05982916312294,80.93860279654835,1
12,-171.00020477982684,80.94293034768488,1
13,-284.6736000495398,78.82916273415464,1
14,-212.2891982168969,80.81004963529197,1
15,-285.0573191599224,74.45630506811048,1
16,-261.07515383915245,78.97004643834276,1
17,-294.47433400660105,65.75918082643287,2
18,-340.3568330793334,57.183336317281544,2
19,-320.270978824436,57.801974473885,2
20,-302.80655304563595,61.03465242829141,2
21,-315.0805480073251,59.655524940876845,2
22,-183.9602828299542,80.86079123879409,2
23,-180.32822847213316,80.90395734281893,2
24,-277.07818912895493,76.68984299762899,2
25,-205.03554097724077,80.46693476957795,2
26,-247.7523448080584,78.91745973256343,2
27,-288.11976777546136,64.88456720068311,3
28,-292.60255333654123,63.136757080159576,3
29,-322.5646795386217,48.26859609055063,3
30,-313.2381881368346,58.81965361062508,3
31,-77.87303961312566,80.67063089338384,3
32,-257.9059656799081,76.38382876335078,3
33,-268.1034458473865,74.26346835453846,3
34,-271.75165780583677,65.39889423199335,3
35,-204.51856597847018,80.12447864358589,3
36,-144.7305548588566,80.39360146630868,3
36,-144.7305548588566,80.39360146630868,3
38,-235.8364725806437,77.46516650283927,3
38,-235.8364725806437,77.46516650283927,3
40,-227.31102282058893,78.50879695278887,3
41,-229.80707451166973,77.50464963610912,3
42,-279.269714265073,64.37543208416406,4
43,-292.51071175108495,63.136757080159576,4
43,-292.51071175108495,63.136757080159576,4
45,-305.4160516654519,56.477224440602235,4
46,-245.77152674594583,75.62447422895696,4
47,-236.50893178216904,76.0558821379766,4
48,-251.88846309046716,74.42970919814073,4
49,-259.1195470458358,73.33430224327974,4
50,-266.59120217728594,72.87952004298214,4
51,-266.90289298806016,72.41556247397537,4
52,-255.5440905235654,74.2410964894157,4
53,-182.87915194674318,78.80955636137296,4
54,-141.60850970280023,79.16766241812502,4
54,-141.60850970280023,79.16766241812502,4
56,-200.51616600060458,78.08902607576708,4
57,-223.2265880220075,77.09026521191012,4
58,-269.89657850567676,63.45211036977688,5
58,-269.89657850567676,63.45211036977688,5
60,-266.993239004393,63.869245182633826,5
61,-290.5394075629932,58.19556803670495,5
62,-287.8812273482001,58.736377940554746,5
63,-282.71583002382516,62.182992657855976,5
64,-301.79001692308395,54.1839748012277,5
65,-257.71593956352257,73.33088267571958,5
66,-260.60581383431753,70.60666620827115,5
67,-228.905130348952,73.37297222921532,5
68,-136.8258987992351,78.8149953334141,5
69,-189.28446434958795,76.69201727610402,5
70,-149.67498429197977,76.82221338928018,5
71,-214.62002824895657,76.62967922802311,5
72,-179.3259900678242,76.75439260750298,5
73,-219.40832133802257,73.73837007863081,5
74,-269.89657850567676,63.300862916052836,6
75,-290.0203963541062,58.10821694721696,6
75,-290.0203963541062,58.10821694721696,6
77,-290.3730422139137,57.023432063792534,6
78,-278.66193418278874,61.7064263167478,6
78,-278.66193418278874,61.7064263167478,6
80,-274.64171566810865,62.06157833887459,6
80,-274.64171566810865,62.06157833887459,6
82,-301.0169980707629,52.51650931255815,6
83,-257.71593956352257,73.16873820500683,6
84,-257.53866547030145,73.33088267571958,6
85,-135.7569175318708,76.83004913047174,6
86,-103.5338029068374,76.93093232181171,6
87,-189.0997245006467,76.69201727610402,6
88,-149.56077279007476,76.82221338928018,6
89,-213.30734183031075,75.48165749318242,6
89,-213.30734183031075,75.48165749318242,6
91,-190.43371098183053,76.45444558585092,6
93,-290.3402352265124,57.00426272742712,7
97,-293.89524883347553,48.57159713350764,7
97,-293.89524883347553,48.57159713350764,7
97,-293.89524883347553,48.57159713350764,7
94,-254.823038424466,72.05374983675284,7
96,-241.60824239658257,72.7587181900324,7
92,-163.2460614814445,76.64752444800895,7
95,-190.28784357122348,75.91430777060262,7
