round,generation,num_pareto_solutions
0,1,9
0,2,6
0,3,10
0,4,14
0,5,18
1,1,7
1,2,15
1,3,21
1,4,23
1,5,22
2,1,10
2,2,11
2,3,17
2,4,6
2,5,12
3,1,10
3,2,19
3,3,22
3,4,21
3,5,26
4,1,8
4,2,13
4,3,12
4,4,14
4,5,22
5,1,13
5,2,12
5,3,14
5,4,18
5,5,26
6,1,13
6,2,20
6,3,18
6,4,17
6,5,23
7,1,9
7,2,10
7,3,19
7,4,24
7,5,8
8,1,10
8,2,19
8,3,20
8,4,28
8,5,30
9,1,14
9,2,24
9,3,29
9,4,24
9,5,25
