round,generation,solution_index,bitstring,objective_1,objective_2,objective_3,num_selected,selected_client_ids,num_available_selected,available_selected_client_ids,num_unavailable_selected,unavailable_selected_client_ids,mean_selected_client_accuracy,selected_client_accuracy_variance,selected_client_accuracy_std,inverse_accuracy_variance,mean_selected_utility,selected_utility_variance,selected_utility_std,mean_available_selected_utility,available_selected_utility_variance,available_selected_utility_std
0,1,0,110001001000101101111011110100,0.3346955852920186,0.2193175852631352,0.722000002861023,16,"[0, 1, 5, 8, 12, 14, 15, 17, 18, 19, 20, 22, 23, 24, 25, 27]",14,"[0, 1, 5, 8, 12, 14, 15, 17, 18, 19, 20, 23, 25, 27]",2,"[22, 24]",0.19970379830920137,0.09121780619890076,0.3020228570802229,10.96277187174943,0.591439166811067,0.09082097676801168,0.3013651883811594,0.6653044147079814,0.06010636954227844,0.24516600405088476
0,1,1,111100001100010101000111111001,0.4626552774166357,0.12147983797610952,0.7310000061988831,16,"[0, 1, 2, 3, 8, 9, 13, 15, 17, 21, 22, 23, 24, 25, 26, 29]",13,"[0, 1, 2, 3, 8, 13, 15, 17, 21, 23, 25, 26, 29]",3,"[9, 22, 24]",0.10790777395595796,0.010196637869152834,0.1009784029837709,98.07154209381399,0.4515958083397003,0.08479675227876408,0.2911988191575716,0.5373447225833643,0.06509169532514444,0.2551307416309223
0,1,2,100100110010100000100000010111,0.4833562651655433,0.07857643440365791,0.8094999939203262,11,"[0, 3, 6, 7, 10, 12, 18, 25, 27, 28, 29]",10,"[0, 3, 6, 10, 12, 18, 25, 27, 28, 29]",1,[7],0.07977340573614294,0.007196533221265194,0.08483238309316316,138.95579569410978,0.4706613636204422,0.09938741158735373,0.31525769076638516,0.5166437348344567,0.0860679896589915,0.2933734644765806
0,1,3,110100111000011000000001111101,0.43147967627872064,0.16738134409145763,0.6924999952316284,14,"[0, 1, 3, 6, 7, 8, 13, 14, 23, 24, 25, 26, 27, 29]",12,"[0, 1, 3, 6, 8, 13, 14, 23, 25, 26, 27, 29]",2,"[7, 24]",0.15185430529527366,0.06265930132658405,0.2503183998961803,15.959322539968005,0.49218859258230674,0.09732527868585464,0.3119699964513489,0.5685203237212794,0.07266947363350425,0.2695727612973986
0,1,4,110000000111101100011001110110,0.3744258294813372,0.1904851648455056,0.7769999951124191,15,"[0, 1, 9, 10, 11, 12, 14, 15, 19, 20, 23, 24, 25, 27, 28]",13,"[0, 1, 10, 11, 12, 14, 15, 19, 20, 23, 25, 27, 28]",2,"[9, 24]",0.16829467195396622,0.0784293133799127,0.28005234042927174,12.750334752466669,0.5520873102363596,0.09491262816249799,0.3080789317082523,0.6255741705186628,0.06896842841715128,0.2626184083744917
0,1,5,111111101011110101010101000011,0.4251332204359929,0.18689088408198012,0.7794999927282333,19,"[0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 15, 17, 19, 21, 23, 28, 29]",19,"[0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 15, 17, 19, 21, 23, 28, 29]",0,[],0.18689088408198012,0.06139569404844231,0.24778154501181543,16.287787205581257,0.5748667795640071,0.07774848249188684,0.27883414871906714,0.5748667795640071,0.07774848249188684,0.27883414871906714
0,1,6,100000011110110101010110010010,0.44805353160338757,0.13019626215100288,0.7985000014305115,14,"[0, 7, 8, 9, 10, 12, 13, 15, 17, 19, 21, 22, 25, 28]",11,"[0, 8, 10, 12, 13, 15, 17, 19, 21, 25, 28]",3,"[7, 9, 22]",0.11753910473947014,0.013144156412400158,0.11464796732781685,76.07943550158936,0.44748154169127563,0.09300154351776517,0.3049615443261087,0.5519464683966124,0.06704678385439199,0.25893393723958236
0,1,7,011101010000000111110100000111,0.40228429593654436,0.16337550259553468,0.8129999935626984,14,"[1, 2, 3, 5, 7, 15, 16, 17, 18, 19, 21, 27, 28, 29]",13,"[1, 2, 3, 5, 15, 16, 17, 18, 19, 21, 27, 28, 29]",1,[7],0.15825890377163887,0.03467174717694386,0.18620351010908429,28.84192697000812,0.5557958431646587,0.08514807731901589,0.2918014347446151,0.5977157040634556,0.06709608309163587,0.2590291163009206
0,1,8,100101011110101111011101010101,0.4067730895427344,0.21022006784401395,0.7235000133514404,19,"[0, 3, 5, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19, 20, 21, 23, 25, 27, 29]",17,"[0, 3, 5, 8, 10, 12, 14, 15, 16, 17, 19, 20, 21, 23, 25, 27, 29]",2,"[7, 9]",0.19410295698693708,0.07769483794798908,0.2787379377623166,12.87086795482379,0.5361569371599972,0.09611698918684279,0.31002740070329715,0.5932269104572656,0.07629318838772406,0.27621221621739334
0,1,9,100001010001010000010110100110,0.3371551474938954,0.21927804872393608,0.7964999973773956,11,"[0, 5, 7, 11, 13, 19, 21, 22, 24, 27, 28]",8,"[0, 5, 11, 13, 19, 21, 27, 28]",3,"[7, 22, 24]",0.1791620080105283,0.041772894199522216,0.204384182850636,23.938968538393436,0.4965783031449517,0.13127530364087817,0.3623193393139237,0.6628448525061046,0.07873288200235863,0.2805938025016922
0,1,10,111101110011010101011111010001,0.4272574705396348,0.1593719854786554,0.8044999986886978,19,"[0, 1, 2, 3, 5, 6, 7, 10, 11, 13, 15, 17, 19, 20, 21, 22, 23, 25, 29]",17,"[0, 1, 2, 3, 5, 6, 10, 11, 13, 15, 17, 19, 20, 21, 23, 25, 29]",2,"[7, 22]",0.15264423292032198,0.042347093706826267,0.20578409488302604,23.61437143533659,0.5178245660713262,0.08681863754853537,0.29465002553628833,0.5727425294603652,0.06819078605389697,0.2611336555365795
