round,generation,num_pareto_solutions
0,1,11
0,2,7
0,3,13
0,4,16
0,5,15
1,1,9
1,2,19
1,3,18
1,4,24
1,5,29
2,1,16
2,2,18
2,3,19
2,4,21
2,5,30
3,1,11
3,2,17
3,3,27
3,4,30
3,5,30
4,1,11
4,2,24
4,3,30
4,4,30
4,5,30
5,1,11
5,2,19
5,3,26
5,4,30
5,5,30
6,1,11
6,2,14
6,3,19
6,4,23
6,5,24
7,1,11
7,2,14
7,3,19
7,4,30
7,5,28
8,1,12
8,2,18
8,3,27
8,4,30
8,5,30
9,1,7
9,2,14
9,3,22
9,4,28
9,5,30
