round,generation,num_pareto_solutions
0,1,8
0,2,9
0,3,5
0,4,10
0,5,15
1,1,8
1,2,10
1,3,10
1,4,9
1,5,12
2,1,9
2,2,10
2,3,18
2,4,23
2,5,26
3,1,13
3,2,17
3,3,22
3,4,30
3,5,30
4,1,11
4,2,19
4,3,29
4,4,29
4,5,30
5,1,12
5,2,17
5,3,23
5,4,29
5,5,30
6,1,9
6,2,16
6,3,18
6,4,18
6,5,22
7,1,12
7,2,19
7,3,16
7,4,20
7,5,19
8,1,11
8,2,17
8,3,25
8,4,30
8,5,30
9,1,14
9,2,17
9,3,30
9,4,27
9,5,30
